MakeDate,Month,Year,Housetype,Sales,Benchmark price,Open,High,Low,Close,Adj Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents
2016-06-01,6,2016,A,2108,501100,14045.459117545,14100.977272727,13976.481800318,14042.440918,14042.440918,237967027.272727,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2016-06-01,6,2016,T,730,656900,14045.459117545,14100.977272727,13976.481800318,14042.440918,14042.440918,237967027.272727,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2016-06-01,6,2016,D,1562,1561500,14045.459117545,14100.977272727,13976.481800318,14042.440918,14042.440918,237967027.272727,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2014-10-01,10,2014,A,1268,380200,14482.354492182,14554.872691773,14353.322576227,14460.831764909,14460.831764909,209123077.272727,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-10-01,10,2014,T,518,479500,14482.354492182,14554.872691773,14353.322576227,14460.831764909,14460.831764909,209123077.272727,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-10-01,10,2014,D,1271,995100,14482.354492182,14554.872691773,14353.322576227,14460.831764909,14460.831764909,209123077.272727,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2008-04-01,4,2008,A,1317,389070,13883.068181727,13970.777299364,13798.7453835,13891.259010955,13891.259010955,216147859.090909,3.5,23039,13810,36617,9449,3945,4504,3826,-5610,9593
2008-04-01,4,2008,T,608,477900,13883.068181727,13970.777299364,13798.7453835,13891.259010955,13891.259010955,216147859.090909,3.5,23039,13810,36617,9449,3945,4504,3826,-5610,9593
2008-04-01,4,2008,D,1293,771321,13883.068181727,13970.777299364,13798.7453835,13891.259010955,13891.259010955,216147859.090909,3.5,23039,13810,36617,9449,3945,4504,3826,-5610,9593
2013-12-01,12,2013,A,850,367800,13327.8751465,13384.66992195,13294.9201172,13339.18012695,13339.18012695,144336825,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2013-12-01,12,2013,T,341,456100,13327.8751465,13384.66992195,13294.9201172,13339.18012695,13339.18012695,144336825,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2013-12-01,12,2013,D,762,927000,13327.8751465,13384.66992195,13294.9201172,13339.18012695,13339.18012695,144336825,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2013-09-01,9,2013,A,1018,366600,12812.16000975,12864.1050781,12775.46000975,12818.9300293,12818.9300293,127793550,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2013-09-01,9,2013,T,442,458300,12812.16000975,12864.1050781,12775.46000975,12818.9300293,12818.9300293,127793550,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2013-09-01,9,2013,D,1023,922600,12812.16000975,12864.1050781,12775.46000975,12818.9300293,12818.9300293,127793550,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2015-10-01,10,2015,A,1543,425800,13750.16197,13830.476236952,13678.414201952,13751.942987333,13751.942987333,230453128.571429,0.5,24134,14952,25159,9752,4911,3991,6282,-5589,562
2015-10-01,10,2015,T,666,526700,13750.16197,13830.476236952,13678.414201952,13751.942987333,13751.942987333,230453128.571429,0.5,24134,14952,25159,9752,4911,3991,6282,-5589,562
2015-10-01,10,2015,D,1437,1197600,13750.16197,13830.476236952,13678.414201952,13751.942987333,13751.942987333,230453128.571429,0.5,24134,14952,25159,9752,4911,3991,6282,-5589,562
2020-10-01,10,2020,A,1570,683500,16252.685639810,16307.528552857,16148.399925476,16226.723865238,16226.723865238,211048366.666667,0.25,23866,16474,36449,5335,6108,2176,5008,-11148,904
2020-10-01,10,2020,T,782,813000,16252.685639810,16307.528552857,16148.399925476,16226.723865238,16226.723865238,211048366.666667,0.25,23866,16474,36449,5335,6108,2176,5008,-11148,904
2020-10-01,10,2020,D,1335,1523800,16252.685639810,16307.528552857,16148.399925476,16226.723865238,16226.723865238,211048366.666667,0.25,23866,16474,36449,5335,6108,2176,5008,-11148,904
2018-02-01,2,2018,A,1185,682800,15454.194695632,15531.30515,15344.889442842,15430.631630316,15430.631630316,234158378.947368,1.25,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-02-01,2,2018,T,401,819200,15454.194695632,15531.30515,15344.889442842,15430.631630316,15430.631630316,234158378.947368,1.25,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-02-01,2,2018,D,621,1602000,15454.194695632,15531.30515,15344.889442842,15430.631630316,15430.631630316,234158378.947368,1.25,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2014-07-01,7,2014,A,1212,376500,15259.877308318,15308.968306273,15214.077192773,15268.336336955,15268.336336955,151065722.727273,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-07-01,7,2014,T,527,472400,15259.877308318,15308.968306273,15214.077192773,15268.336336955,15268.336336955,151065722.727273,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-07-01,7,2014,D,1322,980500,15259.877308318,15308.968306273,15214.077192773,15268.336336955,15268.336336955,151065722.727273,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-01-01,1,2014,A,753,371500,13724.777343727,13772.499955545,13670.286310364,13728.081853727,13728.081853727,179950581.818182,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
